trial,ms,target,angle,error,rpm,torque,out,akp,aki,akd,skp,ski,skd,amax,smax,score
1,5100,950.0,931.11,18.89,0.0,1399,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5150,950.0,931.11,18.89,0.0,1406,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5200,950.0,931.11,18.89,0.0,1358,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5250,950.0,931.11,18.89,0.0,1362,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5300,950.0,931.11,18.89,0.0,1355,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5350,950.0,931.11,18.89,0.0,1359,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5400,950.0,931.11,18.89,0.0,1371,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5450,950.0,931.11,18.89,0.0,1373,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5500,950.0,931.11,18.89,0.0,1412,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5550,950.0,931.11,18.89,0.0,1400,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5600,950.0,931.11,18.89,0.0,1376,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5650,950.0,931.16,18.84,0.0,1416,1384,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5700,950.0,931.16,18.84,0.0,1375,1384,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5750,950.0,931.11,18.89,0.0,1384,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5800,950.0,931.11,18.89,0.0,1426,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5850,950.0,931.11,18.89,0.0,1375,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5900,950.0,931.11,18.89,0.0,1419,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,5950,950.0,931.11,18.89,0.0,1399,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,6000,950.0,931.07,18.93,0.0,1425,1391,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
1,6050,950.0,931.11,18.89,0.0,1396,1388,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,5.975713898137123
2,11260,950.0,930.89,19.11,0.0,1399,1404,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,4000006.0494736843
2,11310,950.0,930.85,19.15,0.0,1432,1407,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,4000006.0494736843
2,11360,950.0,930.85,19.15,0.0,1403,1407,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,4000006.0494736843
2,11410,950.0,930.85,19.15,0.0,1392,1407,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,4000006.0494736843
2,11460,950.0,930.85,19.15,0.0,1371,1407,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,4000006.0494736843
2,11510,950.0,930.85,19.15,0.0,1401,1407,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,4000006.0494736843
2,11560,950.0,930.85,19.15,0.0,1406,1407,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,4000006.0494736843
2,11610,950.0,930.85,19.15,0.0,1401,1407,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,4000006.0494736843
2,11660,950.0,930.85,19.15,0.0,1390,1407,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,4000006.0494736843
2,11710,950.0,930.85,19.15,0.0,1416,1407,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,4000006.0494736843
2,11760,950.0,930.85,19.15,0.0,1397,1407,0.0,0.0,0.0,0.0,0.0,0.0,5000,5000,4000006.0494736843
